TABELA DE INSUMOS;;;;;;;;;;;
;;;;;;;;;;;
Item;CÓDIGO DA SOLUÇÃO NA PIR/SIAC;Produto (Solução);Quantidade;Descrição do Insumo;Detalhamento;Código RM;;;;;
635;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Azul;30 TARJETAS 10 X 30 CM AZUL;01.02.0405;;;;;
636;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Azul;30 TARJETAS 10 X 30 CM AZUL;01.02.0405;;;;;
660;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;2;Expediente/Papel Cartolina - Amarela;10 TARJETAS 10 X 30 CM AMARELO;01.02.0406;;;;;
661;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Amarela;30 TARJETAS 10 X 30 CM AMARELO;01.02.0406;;;;;
662;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Amarela;30 TARJETAS 10 X 30 CM AMARELO;01.02.0406;;;;;
663;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Amarela;30 TARJETAS 10 X 30 CM AMARELO;01.02.0406;;;;;
671;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;2;Expediente/Papel Cartolina - Rosa;10 TARJETAS 10 X 30 CM ROSA;01.02.0408;;;;;
672;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Rosa;30 TARJETAS 10 X 30 CM ROSA;01.02.0408;;;;;
673;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Rosa;30 TARJETAS 10 X 30 CM ROSA;01.02.0408;;;;;
674;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Rosa;30 TARJETAS 10 X 30 CM ROSA;01.02.0408;;;;;
691;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;2;Expediente/Papel Cartolina - Verde;10 TARJETAS 10 X 30 CM VERDE;01.02.0409;;;;;
692;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Verde;30 TARJETAS 10 X 30 CM VERDE;01.02.0409;;;;;
693;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Verde;30 TARJETAS 10 X 30 CM VERDE;01.02.0409;;;;;
694;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;4;Expediente/Papel Cartolina - Verde;30 TARJETAS 10 X 30 CM VERDE;01.02.0409;;;;;
784;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;6;Expediente/Calculadora de Bolso - 8 dígitos;;01.02.0566;;;;;
1027;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1078;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1126;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1192;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;8;Expediente/Cola Bastão - Branca - 10g;;01.02.0603;;;;;
1337;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;FOLHAS DO ANEXO 1 DIAGNÓSTICO GESTÃO FINANCEIRA – ENCERRAMENTO;;;;;;;
1938;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1939;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;5;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1983;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
1984;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;5;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
2042;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2043;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;5;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2144;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
2145;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;5;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
2164;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;1;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;POST-IT COLORIDOS (7X10CM)-BLOCOS;01.02.0607;;;;;
2227;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;8;REVISTAS PARA RECORTE;;;;;;;
2283;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;SEBRAE MAIS/JOGO DE FOLHAS DO ENCONTRO ENCERRAMENTO;;;;;;;
2284;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;SEBRAE MAIS/JOGO DE FOLHAS DO ENCONTRO INTERMEDIÁRIO 30 DIAS;;;;;;;
2285;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;SEBRAE MAIS/JOGO DE FOLHAS DO ENCONTRO INTERMEDIÁRIO 60 DIAS;;;;;;;
2286;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;SEBRAE MAIS/JOGOS DE FOLHAS – ANEXO I – DIAGNÓSTICO GESTÃO FINANCEIRA INICIAÇÃO;;;;;;;
2287;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;SEBRAE MAIS/JOGOS DE FOLHAS – ANEXO II – PLANO DE DESENVOLVIMENTO PESSOAL;;;;;;;
2288;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;SEBRAE MAIS/JOGOS DE FOLHAS GPS INICIAÇÃO;;;;;;;
2296;BA00000000365/010000000743;GESTAO FINANCEIRA - DO CONTROLE A DECISAO;30;Sebrae Mais/PASTA FICHÁRIO COM 2 FUROS;;;;;;;
72;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
119;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
314;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;30;Expediente/Pasta com Aba de Elástico Tamanho Ofício ;;01.02.0110;;;;;
412;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;30;Expediente/Papel Flip Chart;;01.02.0179;;;;;
488;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;4;Expediente/Hidrocor - 12 Cores;;01.02.0222;;;;;
664;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;3;Expediente/Papel Cartolina - Branca;30 tarjetas 10X25CM (1 PARA CADA PARTICIPANTE);01.02.0406;;;;;
1028;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1079;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;30;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1127;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1368;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;16;"IMPRESSO/ IMAGENS DIGITALIZADAS EM JPEG, TAMANHO A4 (CADA IMAGEM
DEVE SER IMPRESSA INDIVIDUALMENTE,COLORIDA  E PLASTIFICADA
";IMAGENS DIGITALIZADAS, DISPONIBILIZADAS COM OS MATERIAIS: GUIA DO EDUCADOR, MANUAL DO PARTICIPANTE, SLIDES E 16 IMAGENS PARA IMPRESSÃO.;;;;;;
1422;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;Impresso/CÓPIA RECORTADA DAS TIRAS DO ANEXO 1;;;;;;;
1640;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;NP;Manual do Participante;;;;;;;
1723;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;NP;Matriz/Formulário de avaliação;;;;;;;
1765;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;2;Matriz/Lista de Presença;;;;;;;
1814;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;PACOTE DE POST-IT VERDE E AZUL;;;;;;;
1907;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1953;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
1998;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2090;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
2264;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;Expediente/Barbante 4/8;;01.02.0045;;;;;
3039;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;Caixa de Som ;;01.08.0010 ;;;;;
3101;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3167;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;Evento/Computador ;;02.01.0046 ;;;;;
3230;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3296;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3365;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3431;BA00000000343/01000000068201 (UAIT?);GESTAO VISUAL DE LOJA ;1;Tela de Projeção ;;01.08.0057 ;;;;;
414;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;50;Expediente/Papel Flip Chart;;01.02.0179;;;;;
463;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
830;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;NP;Na medida/Bloco;;01.06.0001;;;;;
852;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;NP;Na medida/Pasta;;01.06.0002;;;;;
874;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;NP;Na medida/Caneta;;01.06.0005;;;;;
899;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;NP;Na medida/Certificado;;01.06.0006;;;;;
1010;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;1;Check Item/Vídeo do Na Medida;;;;;;;
1672;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;NP;Manual do Participante;;;;;;;
1725;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;NP;Matriz/Formulário de avaliação;;;;;;;
3040;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;1;Caixa de Som ;;01.08.0010 ;;;;;
3102;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3168;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;1;Evento/Computador ;;02.01.0046 ;;;;;
3231;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3297;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3366;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3432;BA00000000502/030000002066;Inadimplência:Como evitar? Na Medida;1;Tela de Projeção ;;01.08.0057 ;;;;;
73;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
120;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
155;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Expediente/Papel Ofício A4 - 210x297mm - Produto Sustentavel;Resma;01.02.0086;;;;;
315;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;30;Expediente/Pasta com Aba de Elástico Tamanho Ofício ;;01.02.0110;;;;;
331;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
359;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;4;Expediente/Tesoura Escolar - 15cm;;01.02.0135;;;;;
415;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;20;Expediente/Papel Flip Chart;;01.02.0179;;;;;
464;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
519;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;4;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
547;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
566;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
637;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;3;Expediente/Papel Cartolina - Azul;COM 8 TIPOS  DE NEGÓCIOS  PAG 101 A 102.;01.02.0405;;;;;
665;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;2;Expediente/Papel Cartolina - Branca;50 tarjetas 15x5 em 2 cartolinas de 60x48;01.02.0406;;;;;
737;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;10;Expediente/Papel Cartolina - Amarela;;01.02.0090;;;;;
958;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Check Item/CD/MÚSICA RELAXANTE;;;;;;;
1029;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1080;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;30;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1128;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1195;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;4;Expediente/Cola Bastão - Branca - 10g;;01.02.0603;;;;;
1379;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Impresso/Anexo Tipos de Negócio ;COM 8 TIPOS  DE NEGÓCIOS  PAG 101 A 102 para colar nas tarjetas;;;;;;
1641;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;NP;Manual do Participante;;;;;;;
1726;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;NP;Matriz/Formulário de avaliação;;;;;;;
1766;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;2;Matriz/Lista de Presença;;;;;;;
1908;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1954;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
1999;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2091;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
2374;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;10;Expediente/Papel Cartolina - Branca;;01.02.0406;;;;;
2375;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;10;Expediente/Papel Cartolina - Rosa;;01.02.0408;;;;;
2376;BA00000000137/010000000035;INICIANDO UM PEQUENO GRANDE NEGOCIO - IPGN;10;Expediente/Papel Cartolina - Azul;;01.02.0405;;;;;
1608;BA00000000467/010000001140;JOVENS EMPREEND PRIM PASSOS – ENS FUND (1º ao 9º ano)- Cap de Professores;30;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
3041;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENS FUND (1º ao 9º ano)- Cap. de Professores;1;Caixa de Som ;;01.08.0010 ;;;;;
3103;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENS FUND (1º ao 9º ano)- Cap. de Professores;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3169;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENS FUND (1º ao 9º ano)- Cap. de Professores;1;Evento/Computador ;;02.01.0046 ;;;;;
3232;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENS FUND (1º ao 9º ano)- Cap. de Professores;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3298;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENS FUND (1º ao 9º ano)- Cap. de Professores;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3367;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENS FUND (1º ao 9º ano)- Cap. de Professores;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3433;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENS FUND (1º ao 9º ano)- Cap. de Professores;1;Tela de Projeção ;;01.08.0057 ;;;;;
183;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;1;BARBANTE;;;;;;;
184;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;2;BEXIGA;;;;;;;
604;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;5;CALCULADORAS;;;;;;;
715;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;30;CARTOLINAS;05 de cada cor (azul, rosa, amarela, branca, verde...);;;;;;
1278;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;5;Expediente/Apontador de Lápis - Sem Deposito;;01.02.0283;;;;;
1279;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;5;Expediente/Borracha - Bicolor - Macia 52x18x7 mm;;01.02.0016;;;;;
1280;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;5;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
1281;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;5;Expediente/Giz de Cera - 12 Cores;;01.02.0319;;;;;
1282;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;5;Expediente/Hidrocor - 12 Cores;;01.02.0222;;;;;
1283;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;1;Expediente/Papel Ofício A4 - 210x297mm - Produto Sustentavel;Resma;01.02.0086;;;;;
1284;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;15;Expediente/Tesoura Escolar - 15cm;;01.02.0135;;;;;
1285;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1294;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;8;CRACHÁS COLORIDOS- (2 cada cor)- SULFITE COLORIDA;;;;;;;
1353;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;2;GRAMPEADORES;;;;;;;
1598;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;5;LÁPIS DE COR (CAIXAS);;;;;;;
1623;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;30;LIVROS DOS ALUNOS DE CADA ANO (CONFORME A FUNDAMENTAÇÃO I ou II);;;;;;;
1646;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;30;MANUAIS DA FUNDAMENTAÇÃO TEORICA E METODOLÓGICA DO JEPP;;;;;;;
1784;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;120;MIÇANGAS- TAMANHO MEDIO- COR VERDE;;;;;;;
1868;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;20;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2190;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;10;RÉGUAS;;;;;;;
2311;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;40;TARJETAS 10 X 30 CM AMARELA;;;;;;;
2317;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;80;TARJETAS DE CARTOLINA OU PAPEL CARTÃO 30 cmx10cm;;;;;;;
2318;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;50;TARJETAS NA COR AZUL- 20x5;;;;;;;
2319;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;50;TARJETAS NA COR ROSA- 20x5;;;;;;;
2341;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;10;TUBO DE COLA LIQUIDA;;;;;;;
2360;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;6;XEROX DO ANEXO 2-FUNDAMENTAÇÃO METODOLOGICA- MANUAL DO FACILITADOR ANO-PAG 87;;;;;;;
2361;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;5;XEROX DO ANEXO 3- CONTROLE DE BARRACA DE COCO - FUNDAMENTAÇÃO METODOLOGICA -MANUAL DO FACILITADOR PAG. 87 e 89;;;;;;;
2362;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;1;XEROX DO ANEXO 4- CARTAZ COMPORTAMENTO EMPREENDEDOR- FUNDAMENTAÇÃO METODOLOGICA -MANUAL DO FACILITADOR- PAG. 91;;;;;;;
2363;BA00000000467/010000001140;JOVENS EMPREENDEDORES PRIMEIROS PASSOS – ENSINO FUNDAMENTAL (1º ao 9º ano)- Capacitação de Professores;1;XEROX DO ANEXO 5- ESTUDOS DE CASOS-  FUNDAMENTAÇÃO METODOLOGICA- MANUAL DO FACILITADOR- PAG.93 Á 101;;;;;;;
